,Unnamed: 0,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
645,645,2012-09-13 01:19:00,2012-09-13 01:26:00,B6.5,POINT(-586.3824 -304.4826),"POLYGON((-591.4404 -311.697,-578.8572 -312.9972,-581.2086 -297.24,-593.8428 -295.9362,-591.4404 -311.697))",POINT(0.693248730706471 117.440868153439),"POLYGON((0.70146 117.78983,0.690455 118.400787,0.684942 117.085978,0.696159 116.488957,0.70146 117.78983))",POINT(-62.32037 -13),"POLYGON((-62.82037 -13.5,-61.82037 -13.5,-61.82037 -12.5,-62.82037 -12.5,-62.82037 -13.5))",UTC-HGS-TOPO,POINT(-39 -13),"POLYGON((-39.5 -13.5,-38.5 -13.5,-38.5 -12.5,-39.5 -12.5,-39.5 -13.5))",2012-09-13 01:23:00,True,,11569,-38.5,-12.5,-39.5,-13.5,-304.4826,-586.3824,-13,-39,660.7223113627388,1
647,647,2012-09-15 23:35:00,2012-09-15 23:46:00,B4.2,POINT(-888.99 288.777),"POLYGON((-892.932 281.8542,-890.256 279.9282,-884.922 295.6854,-887.586 297.5982,-892.932 281.8542))",POINT(0.979970982191465 72.0042767387996),"POLYGON((0.981693 72.481686,0.978411 72.544995,0.978187 71.523606,0.981472 71.464242,0.981693 72.481686))",POINT(-141.97439 19),"POLYGON((-142.47439 18.5,-141.47439 18.5,-141.47439 19.5,-142.47439 19.5,-142.47439 18.5))",UTC-HGS-TOPO,POINT(-80 19),"POLYGON((-80.5 18.5,-79.5 18.5,-79.5 19.5,-80.5 19.5,-80.5 18.5))",2012-09-15 23:41:00,True,,11573,-79.5,19.5,-80.5,18.5,288.777,-888.99,19,-80,934.7167356097781,1
648,648,2012-09-19 05:43:00,2012-09-19 05:51:00,B5.3,POINT(-925.662 201.1638),"POLYGON((-928.266 194.0676,-926.64 192.0756,-922.92 208.2498,-924.54 210.2328,-928.266 194.0676))",POINT(0.992243319237981 77.7391904042815),"POLYGON((0.993361 78.191559,0.991268 78.289466,0.991044 77.284593,0.993158 77.189248,0.993361 78.191559))",POINT(171.0487 13),"POLYGON((170.5487 12.5,171.5487 12.5,171.5487 13.5,170.5487 13.5,170.5487 12.5))",UTC-HGS-TOPO,POINT(-84 13),"POLYGON((-84.5 12.5,-83.5 12.5,-83.5 13.5,-84.5 13.5,-84.5 12.5))",2012-09-19 05:48:00,True,,11575,-83.5,13.5,-84.5,12.5,201.1638,-925.662,13,-84,947.2681841350104,1
651,651,2012-09-20 09:18:00,2012-09-20 09:26:00,B7.7,POINT(784.584 -420.2868),"POLYGON((778.158 -428.5626,785.058 -426.8496,790.914 -411.9684,783.966 -413.6934,778.158 -428.5626))",POINT(0.932022342456988 241.822888456599),"POLYGON((0.930246 241.156672,0.935723 241.46631,0.933815 242.486059,0.92821 242.179701,0.930246 241.156672))",POINT(-57.12227 -23),"POLYGON((-57.62227 -23.5,-56.62227 -23.5,-56.62227 -22.5,-57.62227 -22.5,-57.62227 -23.5))",UTC-HGS-TOPO,POINT(63 -23),"POLYGON((62.5 -23.5,63.5 -23.5,63.5 -22.5,62.5 -22.5,62.5 -23.5))",2012-09-20 09:22:00,True,,11574,63.5,-22.5,62.5,-23.5,-420.2868,784.584,-23,63,890.0635074590126,1
652,652,2012-09-21 11:56:00,2012-09-21 12:48:00,B8.7,POINT(-94.2558 215.4186),"POLYGON((-102.399 207.3576,-86.6988 207.156,-86.148 223.4718,-101.7486 223.6716,-102.399 207.3576))",POINT(0.246144261579908 23.6316464072706),"POLYGON((0.242089 26.281452,0.23508 22.710255,0.250714 21.081567,0.25723 24.460871,0.242089 26.281452))",POINT(-140.77019 20),"POLYGON((-141.27019 19.5,-140.27019 19.5,-140.27019 20.5,-141.27019 20.5,-141.27019 19.5))",UTC-HGS-TOPO,POINT(-6 20),"POLYGON((-6.5 19.5,-5.5 19.5,-5.5 20.5,-6.5 20.5,-6.5 19.5))",2012-09-21 12:21:00,True,,11573,-5.5,20.5,-6.5,19.5,215.4186,-94.2558,20,-6,235.1368305042832,1
653,653,2012-09-24 09:44:00,2012-09-24 09:54:00,B9.6,POINT(-148.4022 35.36556),"POLYGON((-156.7824 27.15144,-140.409 26.83686,-140.0214 43.58616,-156.3492 43.89966,-156.7824 27.15144))",POINT(0.159566898568544 76.5959194755323),"POLYGON((0.166426 80.175014,0.149518 79.179365,0.153386 72.709568,0.169856 74.316343,0.166426 80.175014))",POINT(177.84337 9),"POLYGON((177.34337 8.5,178.34337 8.5,178.34337 9.5,177.34337 9.5,177.34337 8.5))",UTC-HGS-TOPO,POINT(-9 9),"POLYGON((-9.5 8.5,-8.5 8.5,-8.5 9.5,-9.5 9.5,-9.5 8.5))",2012-09-24 09:49:00,True,,11575,-8.5,9.5,-9.5,8.5,35.36556,-148.4022,9,-9,152.557975205997,1
665,665,2012-09-30 01:08:00,2012-09-30 01:13:00,B8.5,POINT(913.728 173.1498),"POLYGON((913.542 164.0382,917.16 165.9036,913.764 182.2458,910.164 180.3888,913.542 164.0382))",POINT(0.971137184481101 280.730214580065),"POLYGON((0.96922 280.179711,0.973283 280.25327,0.972987 281.279361,0.968922 281.210387,0.96922 280.179711))",POINT(-170.60993 12),"POLYGON((-171.10993 11.5,-170.10993 11.5,-170.10993 12.5,-171.10993 12.5,-171.10993 11.5))",UTC-HGS-TOPO,POINT(77 12),"POLYGON((76.5 11.5,77.5 11.5,77.5 12.5,76.5 12.5,76.5 11.5))",2012-09-30 01:11:00,True,,11583,77.5,12.5,76.5,11.5,173.1498,913.728,12,77,929.9890919919651,1
671,671,2012-10-03 13:35:00,2012-10-03 13:41:00,B3.4,POINT(-815.178 -312.6498),"POLYGON((-816.81 -319.6884,-809.322 -321.3366,-813.402 -305.5872,-820.926 -303.9324,-816.81 -319.6884))",POINT(0.910793894500437 110.983598020476),"POLYGON((0.915034 111.374704,0.908398 111.655265,0.906447 110.59071,0.913198 110.316123,0.915034 111.374704))",POINT(3.95915100000001 -16),"POLYGON((3.459151 -16.5,4.459151 -16.5,4.459151 -15.5,3.459151 -15.5,3.459151 -16.5))",UTC-HGS-TOPO,POINT(-62 -16),"POLYGON((-62.5 -16.5,-61.5 -16.5,-61.5 -15.5,-62.5 -15.5,-62.5 -16.5))",2012-10-03 13:38:00,True,,11585,-61.5,-15.5,-62.5,-16.5,-312.6498,-815.178,-16,-62,873.0779284371126,1
672,672,2012-10-03 14:18:00,2012-10-03 14:24:00,B4.3,POINT(-795.402 -301.7442),"POLYGON((-797.604 -308.841,-789.336 -310.4478,-793.056 -294.624,-801.36 -293.0106,-797.604 -308.841))",POINT(0.887456103634746 110.774773140221),"POLYGON((0.892251 111.166949,0.884825 111.469837,0.882554 110.380266,0.8901 110.084518,0.892251 111.166949))",POINT(6.565144 -15),"POLYGON((6.065144 -15.5,7.065144 -15.5,7.065144 -14.5,6.065144 -14.5,6.065144 -15.5))",UTC-HGS-TOPO,POINT(-59 -15),"POLYGON((-59.5 -15.5,-58.5 -15.5,-58.5 -14.5,-59.5 -14.5,-59.5 -15.5))",2012-10-03 14:22:00,True,,11585,-58.5,-14.5,-59.5,-15.5,-301.7442,-795.402,-15,-59,850.713761401354,1
701,701,2012-11-08 22:19:00,2012-11-08 22:57:00,B6.6,POINT(-849.216 226.3536),"POLYGON((-854.574 218.5752,-847.71 217.6812,-843.75 234.1194,-850.584 235.008,-854.574 218.5752))",POINT(0.907792647236961 75.0751339564068),"POLYGON((0.911117 75.652981,0.90402 75.598335,0.90445 74.492004,0.911498 74.555047,0.911117 75.652981))",POINT(-118.64793 15),"POLYGON((-119.14793 14.5,-118.14793 14.5,-118.14793 15.5,-119.14793 15.5,-119.14793 14.5))",UTC-HGS-TOPO,POINT(-65 15),"POLYGON((-65.5 14.5,-64.5 14.5,-64.5 15.5,-65.5 15.5,-65.5 14.5))",2012-11-08 22:38:00,True,,11611,-64.5,15.5,-65.5,14.5,226.3536,-849.216,15,-65,878.8650447531521,1
715,715,2012-11-20 17:40:00,2012-11-20 17:47:00,B9.9,POINT(-359.6622 136.0854),"POLYGON((-367.9644 127.7736,-352.4154 127.5438,-351.3288 144.39,-366.8298 144.6186,-367.9644 127.7736))",POINT(0.39615573914161 69.27485919519),"POLYGON((0.401277 70.850725,0.3861 70.104139,0.39131 67.658194,0.406212 68.483709,0.401277 70.850725))",POINT(128.71241 10),"POLYGON((128.21241 9.5,129.21241 9.5,129.21241 10.5,128.21241 10.5,128.21241 9.5))",UTC-HGS-TOPO,POINT(-22 10),"POLYGON((-22.5 9.5,-21.5 9.5,-21.5 10.5,-22.5 10.5,-22.5 9.5))",2012-11-20 17:43:00,True,,11618,-21.5,10.5,-22.5,9.5,136.0854,-359.6622,10,-22,384.5466606304104,1
720,720,2012-11-22 07:49:00,2012-11-22 07:55:00,B6.3,POINT(16.8996 86.124),"POLYGON((8.45886 77.637,25.37406 77.6472,25.31952 94.6068,8.44074 94.5972,8.45886 77.637))",POINT(0.090386264855433 348.898242827205),"POLYGON((0.080428 353.781924,0.084126 341.903305,0.10086 345.01712,0.097808 354.901103,0.080428 353.781924))",POINT(130.75985 7),"POLYGON((130.25985 6.5,131.25985 6.5,131.25985 7.5,130.25985 7.5,130.25985 6.5))",UTC-HGS-TOPO,POINT(1 7),"POLYGON((0.5 6.5,1.5 6.5,1.5 7.5,0.5 7.5,0.5 6.5))",2012-11-22 07:53:00,True,,11618,1.5,7.5,0.5,6.5,86.124,16.8996,7,1,87.76639366044385,1
732,732,2012-11-28 08:53:00,2012-11-28 09:04:00,B8.1,POINT(680.664 -249.4398),"POLYGON((673.422 -257.7834,684.834 -257.5242,687.828 -241.0758,676.374 -241.3356,673.422 -257.7834))",POINT(0.745714744481214 249.873862696496),"POLYGON((0.741749 249.053343,0.752631 249.391788,0.749749 250.685023,0.73873 250.363197,0.741749 249.053343))",POINT(96.092842 -14),"POLYGON((95.592842 -14.5,96.592842 -14.5,96.592842 -13.5,95.592842 -13.5,95.592842 -14.5))",UTC-HGS-TOPO,POINT(46 -14),"POLYGON((45.5 -14.5,46.5 -14.5,46.5 -13.5,45.5 -13.5,45.5 -14.5))",2012-11-28 08:58:00,True,,11620,46.5,-13.5,45.5,-14.5,-249.4398,680.664,-14,46,724.9301309230015,1
