,event_starttime,event_endtime,fl_goescls,hpc_coord,hpc_bbox,hrc_coord,hrc_bbox,hgc_coord,hgc_bbox,event_coordsys,hgs_coord,hgs_bbox,event_peaktime,active,ar_noaaclass,ar_noaanum,boundbox_c1ur,boundbox_c2ur,boundbox_c1ll,boundbox_c2ll,hpc_y,hpc_x,hgs_y,hgs_x,hpc_radius,event_c2error
842,2010-03-30 12:35:00,2010-03-30 12:44:00,B1.3,POINT(0 111.3972),"POLYGON((0.000084 -954.324,-0.000084 -954.324,0 953.298,0 953.298,0.000084 -954.324))",POINT(0.116010675416549 0),"POLYGON((0.993847 180.000005,0.993847 179.999995,0.992778 0,0.992778 0,0.993847 180.000005))",POINT(-53.18618 0),"POLYGON((-143.08618 -89.9,36.71382 -89.9,36.71382 89.9,-143.08618 89.9,-143.08618 -89.9))",UTC-HGS-TOPO,POINT(0 0),"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",2010-03-30 12:40:00,true,,0,90.0,90.0,-90.0,-90.0,111.3972,0.0,0.0,0.0,111.397199999999998,90.0
843,2010-04-02 23:57:00,2010-04-03 00:04:00,B1.7,POINT(822.018 340.2822),"POLYGON((16.82856 124.92,16.82856 124.92,16.82856 124.92,16.82856 124.92,16.82856 124.92))",POINT(0.926735402853454 292.487576325984),"POLYGON((0.1313 352.327607,0.1313 352.327607,0.1313 352.327607,0.1313 352.327607,0.1313 352.327607))",POINT(-35.01154 18),,UTC-HGS-TOPO,POINT(64 18),,2010-04-03 00:02:00,true,,0,65.0,19.0,63.0,17.0,340.2822,822.018,18.0,64.0,889.665986739315599,0.0
844,2010-04-02 23:57:00,2010-04-03 00:04:00,B1.7,POINT(0 108.1524),"POLYGON((0.000084 -953.706,-0.000084 -953.706,0 952.71,0 952.71,0.000084 -953.706))",POINT(0.112745052814647 0),"POLYGON((0.994205 180.000005,0.994205 179.999995,0.993166 0,0.993166 0,0.994205 180.000005))",POINT(-99.01154 0),"POLYGON((171.08846 -89.9,-9.11154 -89.9,-9.11154 89.9,171.08846 89.9,171.08846 -89.9))",UTC-HGS-TOPO,POINT(0 0),"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",2010-04-03 00:02:00,true,,11057,90.0,90.0,-90.0,-90.0,108.1524,0.0,0.0,0.0,108.1524,90.0
845,2010-04-03 09:04:00,2010-04-03 09:17:00,B3.0,POINT(45.7293 -307.2954),"POLYGON((16.8267 124.5408,16.8267 124.5408,16.8267 124.5408,16.8267 124.5408,16.8267 124.5408))",POINT(0.32362427802718 188.464194851195),"POLYGON((0.130909 352.305366,0.130909 352.305366,0.130909 352.305366,0.130909 352.305366,0.130909 352.305366))",POINT(-101.02341 -25),,UTC-HGS-TOPO,POINT(3 -25),,2010-04-03 09:17:00,true,,1059,4.0,-24.0,2.0,-26.0,-307.2954,45.7293,-25.0,3.0,310.679306906092506,0.0
846,2010-04-03 09:04:00,2010-04-03 10:58:00,B7.4,POINT(0 107.7744),"POLYGON((0.000084 -953.634,-0.000084 -953.634,0 952.644,0 952.644,0.000084 -953.634))",POINT(0.112363478395643 0),"POLYGON((0.99424 180.000005,0.99424 179.999995,0.993208 0,0.993208 0,0.99424 180.000005))",POINT(-104.02341 0),"POLYGON((166.07659 -89.9,-14.12341 -89.9,-14.12341 89.9,166.07659 89.9,166.07659 -89.9))",UTC-HGS-TOPO,POINT(0 0),"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",2010-04-03 09:54:00,true,,11059,90.0,90.0,-90.0,-90.0,107.7744,0.0,0.0,0.0,107.7744,90.0
847,2010-04-05 00:43:00,2010-04-05 00:53:00,B1.4,POINT(-775.224 433.9284),"POLYGON((16.81854 122.8404,16.81854 122.8404,16.81854 122.8404,16.81854 122.8404,16.81854 122.8404))",POINT(0.925423435893841 60.7622611661231),"POLYGON((0.129152 352.203892,0.129152 352.203892,0.129152 352.203892,0.129152 352.203892,0.129152 352.203892))",POINT(172.17776 24),,UTC-HGS-TOPO,POINT(-62.0000000000001 24),,2010-04-05 00:48:00,true,,0,-61.0,25.0,-63.0,23.0,433.9284,-775.224,24.0,-62.0000000000001,888.40649845808764,0.0
848,2010-04-05 00:43:00,2010-04-05 00:53:00,B1.4,POINT(0 106.0794),"POLYGON((0.000084 -953.352,-0.000084 -953.352,0 952.374,0 952.374,0.000084 -953.352))",POINT(0.110649853037117 0),"POLYGON((0.994427 180.000005,0.994427 179.999995,0.993407 0,0.993407 0,0.994427 180.000005))",POINT(-125.82224 0),"POLYGON((144.27776 -89.9,-35.92224 -89.9,-35.92224 89.9,144.27776 89.9,144.27776 -89.9))",UTC-HGS-TOPO,POINT(0 0),"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",2010-04-05 00:48:00,true,,0,90.0,90.0,-90.0,-90.0,106.0794,0.0,0.0,0.0,106.079399999999993,90.0
849,2010-04-05 08:45:00,2010-04-05 08:53:00,B1.1,POINT(-707.466 403.227),"POLYGON((16.81686 122.4858,16.81686 122.4858,16.81686 122.4858,16.81686 122.4858,16.81686 122.4858))",POINT(0.848239185875705 60.318609309599),"POLYGON((0.128786 352.182372,0.128786 352.182372,0.128786 352.182372,0.128786 352.182372,0.128786 352.182372))",POINT(177.76091 21),,UTC-HGS-TOPO,POINT(-52.0000000000003 21),,2010-04-05 08:50:00,true,,0,-51.0,22.0,-53.0,20.0,403.227,-707.466,21.0,-52.0000000000003,814.309618440676331,0.0
850,2010-04-05 08:45:00,2010-04-05 08:53:00,B1.1,POINT(0 105.726),"POLYGON((0.000084 -953.292,-0.000084 -953.292,0 952.32,0 952.32,0.000084 -953.292))",POINT(0.110292055817382 0),"POLYGON((0.994462 180.000005,0.994462 179.999995,0.993448 0,0.993448 0,0.994462 180.000005))",POINT(-130.23909 0),"POLYGON((139.86091 -89.9,-40.33909 -89.9,-40.33909 89.9,139.86091 89.9,139.86091 -89.9))",UTC-HGS-TOPO,POINT(0 0),"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",2010-04-05 08:50:00,true,,0,90.0,90.0,-90.0,-90.0,105.726,0.0,0.0,0.0,105.725999999999999,90.0
851,2010-04-05 11:19:00,2010-04-05 11:28:00,B1.3,POINT(0 105.6126),"POLYGON((0.000084 -953.274,-0.000084 -953.274,0 952.302,0 952.302,0.000084 -953.274))",POINT(0.110177215599767 0),"POLYGON((0.994475 180.000005,0.994475 179.999995,0.993461 0,0.993461 0,0.994475 180.000005))",POINT(-131.6503 0),"POLYGON((138.44971 -89.9,-41.75029 -89.9,-41.75029 89.9,138.44971 89.9,138.44971 -89.9))",UTC-HGS-TOPO,POINT(0 0),"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",2010-04-05 11:23:00,true,,0,90.0,90.0,-90.0,-90.0,105.6126,0.0,0.0,0.0,105.6126,90.0
852,2010-04-05 11:19:00,2010-04-05 11:28:00,B1.3,POINT(913.482 192.5922),"POLYGON((16.81638 122.3718,16.81638 122.3718,16.81638 122.3718,16.81638 122.3718,16.81638 122.3718))",POINT(0.972462152836206 281.905485933111),"POLYGON((0.128669 352.1754,0.128669 352.1754,0.128669 352.1754,0.128669 352.1754,0.128669 352.1754))",POINT(-56.6502899999999 10),,UTC-HGS-TOPO,POINT(75.0000000000002 10),,2010-04-05 11:23:00,true,,1057,76.0,11.0,74.0,9.0,192.5922,913.482,10.0,75.0000000000002,933.563666722757603,0.0
853,2010-04-05 12:44:00,2010-04-05 12:54:00,B1.8,POINT(0 105.5496),"POLYGON((0.000084 -953.262,-0.000084 -953.262,0 952.296,0 952.296,0.000084 -953.262))",POINT(0.110113399600673 0),"POLYGON((0.99448 180.000005,0.99448 179.999995,0.993472 0,0.993472 0,0.99448 180.000005))",POINT(-132.42921 0),"POLYGON((137.67079 -89.9,-42.52921 -89.9,-42.52921 89.9,137.67079 89.9,137.67079 -89.9))",UTC-HGS-TOPO,POINT(0 0),"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",2010-04-05 12:49:00,true,,0,90.0,90.0,-90.0,-90.0,105.5496,0.0,0.0,0.0,105.549599999999998,90.0
854,2010-04-05 12:44:00,2010-04-05 12:54:00,B1.8,POINT(-558.9936 -65.391),"POLYGON((16.81608 122.3088,16.81608 122.3088,16.81608 122.3088,16.81608 122.3088,16.81608 122.3088))",POINT(0.586255541205489 96.6721287973979),"POLYGON((0.128604 352.171558,0.128604 352.171558,0.128604 352.171558,0.128604 352.171558,0.128604 352.171558))",POINT(-168.42921 -9.00000000000002),,UTC-HGS-TOPO,POINT(-35.9999999999998 -9.00000000000002),,2010-04-05 12:49:00,true,,0,-35.0,-8.0,-37.0,-10.0,-65.391,-558.9936,-9.00000000000002,-35.9999999999998,562.805319557269286,0.0
855,2010-04-05 16:52:00,2010-04-05 16:57:00,B1.1,POINT(113.4006 348.8874),"POLYGON((16.81524 122.124,16.81524 122.124,16.81524 122.124,16.81524 122.124,16.81524 122.124))",POINT(0.382139947696889 341.994027025469),"POLYGON((0.128413 352.160246,0.128413 352.160246,0.128413 352.160246,0.128413 352.160246,0.128413 352.160246))",POINT(-127.70184 15),,UTC-HGS-TOPO,POINT(7 15),,2010-04-05 16:57:00,true,,0,8.0,16.0,6.0,14.0,348.8874,113.4006,15.0,7.0,366.854349789013668,0.0
856,2010-04-05 16:52:00,2010-04-05 17:08:00,B1.1,POINT(0 105.3654),"POLYGON((0.000084 -953.232,-0.000084 -953.232,0 952.266,0 952.266,0.000084 -953.232))",POINT(0.109926789026009 0),"POLYGON((0.994499 180.000005,0.994499 179.999995,0.993491 0,0.993491 0,0.994499 180.000005))",POINT(-134.70184 0),"POLYGON((135.39816 -89.9,-44.80184 -89.9,-44.80184 89.9,135.39816 89.9,135.39816 -89.9))",UTC-HGS-TOPO,POINT(0 0),"POLYGON((-89.9 -89.9,89.9 -89.9,89.9 89.9,-89.9 89.9,-89.9 -89.9))",2010-04-05 16:57:00,true,,0,90.0,90.0,-90.0,-90.0,105.3654,0.0,0.0,0.0,105.365399999999994,90.0
